name,code
京沪高铁,sh601816
中国石油,sh601857
贵州茅台,sh600519
海螺水泥,sh600585
招商证券,sh600999
科大讯飞,sz002230
长江电力,sh600900
中国平安,sh601318
大秦铁路,sh601006
中国人寿,sh601628
建设银行,sh601939
格力电器,sz000651
国泰君安,sh601211
中国移动,sh600941
立讯精密,sz002475
中国石化,sh600028
光大银行,sh601818
工商银行,sh601398
农业银行,sh601288
中国银行,sh601988
我爱我家,sz000560
合肥城建,sz002208
万 科Ａ,sz000002
隆基绿能,sh601012
上海机场,sh600009
上港集团,sh600018
招商公路,sz001965
华能水电,sh600025
中曼石油,sh603619
