name,code
中国银行,sh601988
建设银行,sh601939
光大银行,sh601818
南京银行,sh601009
农业银行,sh601288
兴业银行,sh601166
浦发银行,sh600000
工商银行,sh601398
杭州银行,sh600926
民生银行,sh600016
招商银行,sh600036
交通银行,sh601328
邮储银行,sh601658
